testId,FN,picFN,wordFN,faceFN,FP,picFP,wordFP,faceFP,TN,picTN,wordTN,faceTN,TP,picTP,pic-accuracy,wordTP,faceTP,video,diffCalm,diffHappy,CalmLevel,PositiveLevel,calm minus positive,userId,age,gender,englishLevel,hand,FP+TN,FN+TP
43,0,0,0,0,0.238095238,0.285714286,0,0.428571429,0.761904762,0.714285714,1,0.571428571,1,1,1,1,1,calm,0,2,2,8,-6,16,39,male,native language,right,1,1
46,0,0,0,0,0.142857143,0.5,0,0,0.857142857,0.5,1,1,1,1,1,1,1,stress1,7,-5,9,3,6,16,39,male,native language,right,1,1
48,0,0,0,0,0.111111111,0,0,0.333333333,0.888888889,1,1,0.666666667,1,1,1,1,1,stress2,0,-2,9,1,8,16,39,male,native language,right,1,1
44,0,0,0,0,0.285714286,1,0,0,0.714285714,0,1,1,1,1,1,1,1,stress1,5,-1,7,6,1,17,39,male,native language,right,1,1
47,0,0,0,0,0.333333333,1,0,0,0.666666667,0,1,1,1,1,1,1,1,stress2,0,-1,7,5,2,17,39,male,native language,right,1,1
49,0.111111111,0,0,0.333333333,0.238095238,0.714285714,0,0,0.761904762,0.285714286,1,1,0.888888889,1,1,1,0.666666667,calm,-6,1,1,6,-5,17,39,male,native language,right,1,1
50,0.125,0,0.333333333,0,0.285714286,1,0,0,0.714285714,0,1,1,0.875,1,0.80139342,0.666666667,1,stress1,0,-2,1,6,-5,19,34,male,native language,right,1,1
51,0.166666667,0,0.5,0,0.444444444,1,0.333333333,0,0.555555556,0,0.666666667,1,0.833333333,1,0.824864596,0.5,1,stress2,0,3,1,9,-8,19,34,male,native language,right,1,1
53,0,0,0,0,0.428571429,1,0.142857143,0.142857143,0.571428571,0,0.857142857,0.857142857,1,1,1,1,1,calm,0,0,1,9,-8,19,34,male,native language,right,1,1
55,0.222222222,0,0,0.666666667,0.238095238,0.571428571,0.142857143,0,0.761904762,0.428571429,0.857142857,1,0.777777778,1,1,1,0.333333333,calm,0,0,1,9,-8,22,70,female,native language,right,1,1
56,0,0,0,0,0.285714286,0.5,0,0.333333333,0.714285714,0.5,1,0.666666667,1,1,0.858654678,1,1,stress1,6,-8,7,1,6,22,70,female,native language,right,1,1
57,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,stress2,0,2,7,3,4,22,70,female,native language,right,1,1
58,0.111111111,0,0,0.333333333,0.238095238,0.428571429,0,0.285714286,0.761904762,0.571428571,1,0.714285714,0.888888889,1,1,1,0.666666667,calm,-3,-2,2,5,-3,24,35,male,native language,left,1,1
61,0,0,0,0,0.142857143,0,0,0.333333333,0.857142857,1,1,0.666666667,1,1,1,1,1,stress1,6,-2,8,3,5,24,35,male,native language,left,1,1
